Elément,Appellation traditionnelle,Définition,Fonction,Relation,Dispositif environnemental,Illustration,Catégorie,Documentation/source
"Banc en maçonnerie","Doukkana","Un banc construit dans l’épaisseur du mur de la skifa  (selon les dimensions de la maison). Revêtue de carreaux de céramique d’ardoise et de marbre et couronnée par un Arc Algérois en anse de panier  celui ci repose sur des colonnes monolithiques (dans les palais ces colonnes sont généralement jumelles).","","Percé dans l’épaisseur du mur","","Pas d'image","Elément architectonique","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Terrasse","Stah","L’espace privé réservé aux femmes pour profiter des belles journées du printemps et les belles soirées de l’été. Les murs d’acrotères de hauteurs réduites favorisent l’ensoleillement et la vue panoramique vers la baie d’Alger. Le mur d’acrotère sur l’extérieur se situe à une hauteur approximative de  1.10m. La différence de niveau de terrasse résulte des volumes des appartements ( la différence de la hauteur des plafond) et reporté au sols sur les terrasses qui sont matérialisées par des petites murettes d’environ 20 cm de haut et de large pour délimiter ces surfaces coupées par des barbacanes qui permettent l’écoulement des eaux de pluie.","","","Récupération et drainage des eaux pluviales vers les chutes qui alimentent le jeb","Terrasse.png","","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques). Rafik Boudjadja et Amina Boudjada : Conceptual modeling of the environmental devices of a Constantinian house with patio (2015)."
"Demi niveau ou espace a à mi-hauteur","Sadda","Des espaces latéraux surélevés à une hauteur variant en fonction de l’espace situé au dessous (chambre , escalier ou squifa)","Selon la hauteur obtenue, elle peut servir de chambre a coucher ou d’emmagasinage, espace pour les enfants.","","","Demi niveau ou espace a à mi-hauteur.png","Espace de vie","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Veilleuse","","Menues ouvertures, initialement grillagées côté cour et fermées par un volet côté appartement. Destinées à éclairer les galeries et le wast al dar. Les joues et l’appui de ces veilleuses sont souvent revêtus de céramiques. Leur plafond est formé d’une plaque de schiste percée en son centre pour permettre à la fumée de s’évacuer par un conduit débouchant sur le muret de relevé des terrasses. La plaque de schiste peut être remplacée par une voûte lette en berceau.","Eclairage","Percé dans l’épaisseur du mur","","Veilleuse.png","Elément architectonique","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Conduits de descentes d’eau et d’évacuation des fumées","","Ils sont constitués d’éléments identiques de poterie dont les profils permettent l’emboîtement. Ils sont utilisés soit pour la descente d’eau soit pour la fumée. La conduit de fumée est bien dans l’axe du mur. La conduit de la descente d’eau est au nu de la façade ( incorporée), elle débouche soit au niveau des citernes creusées au dessous des cours ( uniquement réservées aux eaux propres de la terrasse)  soit à des évacuations auxquelles viendront se joindre les eaux recueillies par la cour elle-même.","","Contenues dans l’épaisseur du mur","Les conduites d’évacuation des fumées permettent de purifier l’air à l’intérieur de la maison","Conduits de descentes d’eau et d’évacuation des fumées.png","","Mémoire de magister: Evaluation de la qualité environnementale dans le scteur sauvegardé Cas d'étude la Casbah d'Alger, Djamel Merrad, 2012."
"Atre","Oudjak","Des niches aménagées dans l’épaisseur du mur et qui servent au rangement des ustensiles. Elle se trouve dans l’alcôve devisant la cuisine.","","","","Pas d'image","Elément architectonique","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Façade extérieure","","Elle constitue l’enceinte de la maison.","Séparer l’espace intérieur de l’espace extérieur","Border la maison","","Façade extérieure.png","Elément de couverture","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques). Mémoire de magister: Evaluation de la qualité environnementale dans le scteur sauvegardé Cas d'étude la Casbah d'Alger, Djamel Merrad, 2012."
"Porte extérieure","Porte principale","-Seule ouverture en partie basse de la maison. -Les portes se différencient d’une maison à une autre par leur décoration (l’encadrement ou la porte elle-même). -Généralement en bois plein.","Assurer le contact entre l’espace intérieur et  l’espace extérieur tout en permettant leur séparation","Percée dans la façade extérieure","Prise d’air indispensable pour la ventilation","Porte extérieure.png","Ouverture","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Porte intérieure","","Porte à deux battants rectangulaires séparant les bouts avec le patio ou les galeries. Elles sont formées de deux vantaux massifs de menuiserie à ouverture extérieur, doublés souvent par deux vantaux mineurs supplémentaires, et joints aux principaux par des charnières à anneaux entrelacés. Se dressent juxtaposées entre elles et obéissent au principe de l’indépendance entre la maçonnerie et le châssis.","","","","Porte intérieure.png","Ouverture","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Fenêtre extérieure","","Une ouverture dans le mur de la façade extérieure, de forme rectangulaire ou carrée de même dimension dans toutes les maisons qu’elles soient modestes ou palais. Fermées par des grilles droites placées au nu du mur ou en saillie, selon le type de fenêtre. Situées dans ses étroits murs latéraux en saillie sur l’extérieur et placées à hauteur d’une personne assise près du sol.","Assurer le contact visuel depuis l’intérieur de la maison vers l’extérieur. Laisser pénétrer l’air et la lumière. Les femmes peuvent voir le long de la rue.","Percée dans le mur de la façade extérieure","Prise d’air indispensable pour la ventilation","Fenêtre extérieure.png","Ouverture","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Ouverture d’aération","","De forme rectangulaire avec des claustrât et un petit vitrage avec des couleurs agréable.","","Percées dans les murs extérieurs","Un dispositif indispensable pour la prise de l’air et de la lumière","Ouverture d’aération.png","Ouverture","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"K’bou","","Un défoncement d’une longueur moyenne de 2m, percée de fenêtres sur ses trois côtés qui fait face à la porte. La morphologie du k’bou est la même que ce soit pour une modeste maison ou un palais, il existe : - un k’bou couvert d’une coupole, -un k’bou couvert par un plancher en bois. Il se manifeste par un décrochement sur la façade avec une ouverture donnant sur la rue/ Ou bien un décrochement s’adossant sur le mur mitoyen. Un espace carré creusé dans le mur du fond d’une chambre longue et étroite en face de la grande porte ouverte sur l’extérieur.","Un lieu privilégié pour les réceptions, les conversations, les travaux calmes nécessitant l’adossement, réunion intime ou bien princière. Offre une perspective sur le wastaldar par la porte de la chambre ainsi que sur la rue par de petites ouvertures.","Contenu dans la chambre","","K’bou.png","Elément architectonique","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Bartoz","","Une petite chambre située dans la longueur de l’escalier appelée bartoz qui sert de débarras.","Récupération de l’espace perdu sur l’escalier à une volet","","","Pas d'image","","Pas de sources"
"Sous-sol et la création","","Sous les biouts entièrement voutés et offrent des fondations solides et une assise de niveau uniforme à partir de laquelle elle pourra s’élever.","","Sous-le patio/biout lié au patio par l’escalier","","Pas d'image","","Mémoire de magister: Evaluation de la qualité environnementale dans le scteur sauvegardé Cas d'étude la Casbah d'Alger, Djamel Merrad, 2012."
"Coupole","","Toutes les coupoles sont de base octogonale supportées par quatre pendentifs. Coupole de la galerie : elles sont supportées en partie par les murs de la galerie et par deux arcs doubleaux qui s’accrochent aux murs et aux colonnes de la galerie.Coupole du K’bou : elle est identique aux coupoles de la galerie mais avec des dimensions plus importantes. Cette coupole est portée par les trois murs de l’alcôve et par une arcade en plein cintre. Les k’bou et les alcôves lits des palais sont surmontés de coupoles ornées de stucs. Cependant, plus sobres sont les coupoles des bains.","","","","Pas d'image","","Pas de sources"
"Voute croisée","","","","","","Voute croisée.png","","Pas de sources"
"Niche","","Des espaces de rangement creusés dans l’épaisseur des murs des pièces. Généralement situées en face des fenêtres sur les deux côtés de la chambre en face la porte, même au- dessus des fenêtres côté intérieur avec une décoration assez spéciale et au-dessus des ouvertures d’aération. Couronnées par un arc en anse de panier typique Algérois.","","","","Niche.png","","Pas de sources"
"Mur des pièces","","Ils sont creusés de banquettes constituant des espaces de repos, les murs sont de véritables espaces.","","","","Pas d'image","","Pas de sources"
"La pierre","","Employée sous forme de moellons pour la construction des murs des rez de chaussée et des fondations en appareil mixte avec des briques. La pierre taillée ou la pierre sculptée constitua les parties de différents éléments de structure. Dans les maisons populaires, les tufs, qualité de calcaire, de grains de liaison relativement faible, servirent pour les colonnes, les chapiteaux, les encadrements de porte.","","","","Pas d'image","Matériau de construction","Pas de sources"
"Brique pleine","","Des briques de faible cuisson sont utilisée pour la construction des murs, des murs de fondations, des voûtes. Ces briques ont une épaisseur de 30 à 35 mm et 25 à 30 sur 10 à 12 cm.","","","","Pas d'image","Matériau de construction","Pas de sources"
"La chaux Grasse","","Utilisée comme mortier de construction du mur, disposé en joints entre les briques, d’une épaisseur égale à celle des briques, composant ainsi un système de structure souple. Utilisée comme mortier d’enduit ou crépi. Utilisée avec de faible addition à la comme pisé, qui apparaît comme mur porteur dans certaines maisons de la casbah. Le pisé fut utilisé surtout pour la construction des éléments de défense, les remparts, les murs de fausse brai, de contre escarpes etc...","","","","Pas d'image","","Pas de sources"
"Bois","","Les rondins de thuya d’Algérie (tétraponis ou quadripôles articulata) espèce qui a presque disparu du pays, constituèrent l’élément de structure porteur des planchers, des cages d’escalier, des encorbellements, ils servirent aussi comme éléments d’étaiement entre façades opposées de la rue ancienne, comme tirants encastrés dans les murs, aux angles …etc.","","","","Bois.png","","Pas de sources"
"Plancher","","Toutes les maisons, du rez de chaussée à l’étage, sont plafonnées, à l’exception du sous-sol qui est voûté d’arêtes ou en berceau. Réalisée en rondins ou solives en bois, posés directement sur les murs au moment même de leur construction.","","","","Plancher.png","Elément de structure","Pas de sources"



